p1,p2,result,date
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Loss,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,rseshqsshwlch,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Win,11-07-05
gcihmhfrnwnovm,wffxqkkfase,Loss,11-07-05
gcihmhfrnwnovm,nrrpossxt,Win,11-07-05
gcihmhfrnwnovm,nrrpossxt,Loss,11-07-05
gcihmhfrnwnovm,nrrpossxt,Loss,11-07-05
gcihmhfrnwnovm,nrrpossxt,Win,11-07-05
gcihmhfrnwnovm,nrrpossxt,Loss,11-07-05
gcihmhfrnwnovm,nrrpossxt,Loss,11-07-05
gcihmhfrnwnovm,nrrpossxt,Win,11-07-05
